iter	Passed	Remaining
0	178	177952
1	198	99245
2	218	72576
3	238	59466
4	259	51682
5	280	46414
6	299	42473
7	318	39519
8	338	37276
9	358	35530
10	379	34156
11	399	32915
12	419	31885
13	440	31005
14	460	30263
15	481	29603
16	501	29025
17	522	28517
18	543	28072
19	563	27610
20	584	27232
21	605	26935
22	628	26692
23	647	26337
24	666	26007
25	685	25692
26	705	25438
27	726	25208
28	747	25019
29	767	24803
30	786	24582
31	805	24357
32	823	24139
33	843	23951
34	862	23794
35	882	23630
36	901	23465
37	920	23298
38	939	23152
39	958	23014
40	978	22897
41	998	22768
42	1018	22657
43	1036	22524
44	1056	22413
45	1075	22315
46	1095	22210
47	1114	22103
48	1133	21997
49	1152	21902
50	1172	21811
51	1191	21715
52	1210	21629
53	1229	21542
54	1249	21461
55	1268	21380
56	1286	21289
57	1305	21209
58	1324	21130
59	1344	21056
60	1362	20973
61	1381	20904
62	1401	20840
63	1420	20773
64	1440	20715
65	1458	20646
66	1478	20595
67	1497	20528
68	1517	20469
69	1536	20408
70	1555	20347
71	1574	20298
72	1594	20243
73	1613	20184
74	1631	20117
75	1650	20063
76	1669	20015
77	1689	19966
78	1707	19911
79	1727	19863
80	1745	19808
81	1763	19746
82	1782	19697
83	1801	19640
84	1819	19585
85	1837	19532
86	1855	19477
87	1875	19438
88	1894	19392
89	1912	19333
90	1930	19283
91	1949	19238
92	1967	19190
93	1985	19137
94	2003	19083
95	2021	19037
96	2039	18987
97	2057	18936
98	2075	18890
99	2093	18842
100	2112	18803
101	2131	18764
102	2149	18723
103	2167	18677
104	2187	18647
105	2205	18604
106	2224	18569
107	2244	18540
108	2264	18506
109	2283	18471
110	2302	18438
111	2321	18402
112	2340	18370
113	2358	18333
114	2378	18306
115	2397	18270
116	2416	18235
117	2435	18204
118	2454	18172
119	2473	18139
120	2492	18106
121	2511	18075
122	2529	18033
123	2547	17999
124	2567	17971
125	2586	17943
126	2605	17911
127	2623	17875
128	2642	17845
129	2662	17815
130	2681	17787
131	2700	17757
132	2719	17727
133	2737	17692
134	2755	17658
135	2775	17631
136	2794	17600
137	2812	17569
138	2831	17541
139	2850	17512
140	2869	17480
141	2888	17452
142	2907	17426
143	2927	17400
144	2946	17373
145	2964	17339
146	2984	17316
147	3003	17287
148	3021	17258
149	3040	17229
150	3060	17205
151	3080	17183
152	3099	17155
153	3118	17129
154	3136	17097
155	3155	17069
156	3174	17046
157	3192	17014
158	3211	16988
159	3231	16963
160	3250	16937
161	3268	16908
162	3288	16884
163	3307	16860
164	3326	16833
165	3344	16801
166	3363	16777
167	3383	16755
168	3401	16726
169	3420	16700
170	3440	16678
171	3459	16653
172	3478	16630
173	3498	16608
174	3517	16583
175	3537	16559
176	3557	16539
177	3576	16517
178	3596	16497
179	3615	16471
180	3634	16443
181	3652	16417
182	3672	16395
183	3691	16368
184	3709	16343
185	3727	16314
186	3745	16284
187	3764	16258
188	3784	16237
189	3803	16216
190	3822	16189
191	3841	16164
192	3860	16142
193	3879	16119
194	3898	16094
195	3917	16070
196	3937	16051
197	3957	16028
198	3977	16011
199	3997	15991
200	4016	15965
201	4035	15942
202	4054	15919
203	4074	15899
204	4093	15874
205	4113	15855
206	4132	15831
207	4152	15810
208	4171	15786
209	4190	15763
210	4209	15740
211	4228	15716
212	4247	15692
213	4266	15670
