iter	Passed	Remaining
0	158	157922
1	168	83939
2	177	59060
3	188	46817
4	197	39357
5	207	34434
6	217	30840
7	227	28237
8	237	26120
9	247	24455
10	256	23077
11	266	21934
12	275	20941
13	284	20055
14	294	19327
15	303	18654
16	312	18065
17	321	17541
18	330	17065
19	340	16670
20	349	16294
21	359	15968
22	368	15669
23	378	15394
24	388	15167
25	402	15092
26	418	15074
27	431	14963
28	441	14777
29	450	14580
30	461	14422
31	472	14286
32	482	14145
33	492	13995
34	501	13835
35	511	13704
36	522	13595
37	532	13469
38	541	13347
39	551	13233
40	560	13121
41	570	13019
42	580	12916
43	590	12822
44	599	12732
45	611	12675
46	621	12592
47	630	12510
48	640	12433
49	651	12372
50	661	12306
51	671	12238
52	680	12167
53	690	12093
54	700	12028
55	709	11966
56	719	11898
57	728	11839
58	738	11779
59	747	11713
60	757	11665
61	766	11602
62	775	11540
63	786	11495
64	795	11439
65	805	11394
66	814	11347
67	824	11303
68	834	11258
69	844	11219
70	854	11179
71	865	11150
72	875	11113
73	885	11080
74	895	11040
75	904	10994
76	914	10958
77	924	10924
78	933	10888
79	943	10845
80	952	10811
81	962	10774
82	972	10742
83	981	10703
84	991	10670
85	1001	10643
86	1010	10604
87	1020	10576
88	1029	10539
89	1038	10499
90	1048	10469
91	1057	10439
92	1067	10408
93	1077	10381
94	1086	10349
95	1095	10318
96	1105	10287
97	1114	10259
98	1124	10230
99	1133	10200
100	1142	10167
101	1151	10137
102	1160	10106
103	1169	10078
104	1179	10051
105	1188	10026
106	1197	9998
107	1207	9973
108	1216	9946
109	1226	9920
110	1235	9894
111	1244	9867
112	1253	9840
113	1262	9815
114	1272	9791
115	1281	9766
116	1291	9748
117	1301	9730
118	1312	9718
119	1322	9699
120	1332	9680
121	1343	9666
122	1353	9653
123	1365	9646
124	1376	9635
125	1387	9627
126	1399	9622
127	1415	9641
128	1429	9652
129	1442	9653
130	1484	9844
131	1497	9847
132	1513	9864
133	1528	9875
134	1538	9860
135	1551	9857
136	1563	9848
137	1575	9841
138	1588	9837
139	1599	9828
140	1611	9816
141	1623	9810
142	1636	9809
143	1649	9802
144	1660	9791
145	1670	9771
146	1680	9753
147	1690	9732
148	1700	9711
149	1710	9691
150	1719	9670
151	1729	9651
152	1740	9633
153	1749	9612
154	1760	9595
155	1769	9576
156	1780	9560
157	1790	9540
158	1799	9520
159	1810	9503
160	1819	9483
161	1829	9461
162	1838	9441
163	1848	9421
164	1858	9404
165	1867	9384
166	1877	9366
167	1888	9350
168	1898	9333
169	1909	9320
170	1920	9308
171	1930	9291
172	1941	9281
